"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC107275395",3.70494087824142,3.61066188704428,3.60847909876133,3.58086759037355
"LOC107275408",2.84653097442068,2.82911121707602,2.506464689574,2.49897069067384
"LOC107275412",3.89798524453906,4.28008510300114,3.98816541046232,4.00058993446374
"LOC107275421",4.6110347461399,4.39232501083988,3.56772480719067,3.54019780478986
"LOC107275429",9.34270889755191,9.43840313660462,7.30625083303988,8.43530533974673
"LOC107275436",3.00277470661659,2.84579153510421,2.95616203383255,2.77661222609673
"LOC107275437",2.94399827743229,3.18067125246705,2.72057942093396,2.73595647002876
"LOC107275438",5.58629666923111,5.73934247044209,5.09957749915361,5.62663169986562
"LOC107275446",3.93266206833502,3.99078523277935,4.78602672789433,5.53342797217821
"LOC107275449",2.71222203082292,2.79955801649295,3.03517773720043,3.06921063521534
"LOC107275452",3.96822717546163,4.21299787595334,4.41540595577478,4.32081828650576
"LOC107275456",2.8236479287502,2.85721484845332,3.03873961232548,3.02733580749269
"LOC107275458",4.82251839982728,5.1822072947741,6.0770832844961,5.61582185346586
"LOC107275464",3.70841517125924,3.28434200808438,3.18981680743128,3.10148383045077
"LOC107275465",6.70804461624357,6.55580354935618,6.24496743261464,6.56524829532246
"LOC107275470",4.12585549218751,4.17565777239654,8.02824780948792,7.53303775589513
"LOC107275473",4.17666360258276,4.43223633117081,3.95106956939466,4.21767877162772
"LOC107275474",2.44424604925651,2.35687710284559,2.15224810482548,2.14685473934154
"LOC107275479",3.1423151551212,3.20402283474175,3.24404184256421,3.53496547049202
"LOC107275480",4.71200175794286,4.76713210277027,4.77191500988779,4.60948500651509
"LOC107275482",4.95886554622969,4.75552859206857,5.1277025725278,5.20799945308645
"LOC107275489",4.02654310668825,4.06057505615268,7.04249522308578,6.29536691703124
"LOC107275490",5.22390956081468,5.25050866251828,6.32386001596605,6.37805974614587
"LOC107275498",4.12008177879102,4.16708519488638,4.57309191831354,4.26695906040014
"LOC107275501",4.00227663693119,3.97516403223017,5.61089582955728,5.73493035951463
"LOC107275509",5.03572266110571,4.82269754425109,7.12641990743019,6.63586834641754
"LOC107275512",3.17007246787601,3.14361818219968,3.77082313761298,3.65098277150462
"LOC107275518",2.5894284880392,2.46020795583006,2.66814515561103,2.37300696470055
"LOC107275520",5.37827473297983,5.3995325946278,5.68466794393852,5.24803598132921
"LOC107275524",6.62380640699136,6.58910263922648,6.05021854471565,5.89610592929575
"LOC107275527",4.01923731091296,4.04514298940698,6.12170417604494,6.31247451877318
"LOC107275533",3.14474233980451,3.14234309308948,3.04006368258198,3.08135912309719
"LOC107275537",3.82021627281314,4.20011862455991,4.1064847380209,3.87601812013425
"LOC107275543",3.32133013715657,3.51941825259142,3.51871136092642,3.60503310898881
"LOC107275549",2.55920904007676,2.59002892196231,2.72255326122035,2.77925590185315
"LOC107275557",2.97008574960441,3.01401473742394,2.62537130871002,2.61693408042172
"LOC107275566",7.16559109329894,7.26172117273581,6.53732680164818,6.84396389176529
