"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC4349798",8.24213161888952,8.1345137181378,6.63934159174962,6.98125478448172
"LOC4349800",11.8301727201754,11.8810713695997,11.5391668635082,11.5576733639484
"LOC4349804",0.580383324873511,0.498047612245644,0.474130080609499,0.472944744689801
"LOC4349805",8.77545604708273,8.63849366846085,8.42739887837837,8.56980285276351
"LOC4349806",7.78283216837405,7.76644743299835,8.1480363611272,8.25662950699901
"LOC4349807",3.74554013450566,3.68475815129871,4.1738264134987,4.11234768237706
"LOC4349809",5.44621507722043,5.58147355213779,5.05278922487153,5.22131489818247
"LOC4349810",10.0171273678884,9.74871492797838,10.1115860269861,10.0359220123232
"LOC4349811",7.26851184533715,7.2326128229243,7.43250632429481,7.43783014214733
"LOC4349813",6.17609109403163,6.25612029294321,7.06006771157822,6.72224719861634
"LOC4349814",5.25163517427641,5.45868862300913,5.07154540398669,5.35563327299799
"LOC4349815",3.58347573040631,3.81321765939722,3.70421399914884,3.65164231826468
"LOC4349816",10.1329873897198,10.1348000331832,9.85129342354224,9.90435151653254
"LOC4349817",7.33458335402675,7.15192859646383,8.15377924705983,7.61600048898644
"LOC4349818",7.6539532642213,7.39649526478046,8.47883183693587,7.90916106701752
"LOC4349819",13.6325723625998,13.4395409500084,11.7240201419834,11.528524382444
"LOC4349820",8.21821759053705,7.67930282408853,9.26903622205492,9.12769113369313
"LOC4349821",5.67859601169598,5.81567414181574,5.55270166841098,5.58674130072234
"LOC4349822",2.06845865000475,2.11980082108247,2.05568164222149,2.15251141034844
"LOC4349823",6.46258501008152,6.04432986560038,7.280752932745,7.0168722980321
"LOC4349824",5.37452576556614,5.27491408756943,5.44456678163992,5.48924973200738
"LOC4349825",9.31687311285402,9.21398175629955,8.8808829211987,8.5887760573263
"LOC4349827",9.99773547327207,10.0380845208529,9.97516452524576,9.81011474469988
"LOC4349828",10.5911442637926,10.4777070602744,11.6801392836094,11.8092557703898
"LOC4349829",8.33832371501847,8.01692409949512,8.87069102665659,8.8097541035646
"LOC4349830",8.41713965353409,8.02741900819847,8.75007756509877,8.97822496424642
"LOC4349831",9.16193845391659,9.19647057915587,9.2544476320787,9.28065649001144
"LOC4349833",0,0,0,0
"LOC4349834",4.35346017443553,4.16870066545189,4.40378615789339,4.16493839537677
"LOC4349835",8.4945703611225,8.63375140411364,8.69655687945795,8.82325619894602
"LOC4349836",10.0714688076408,9.96804814973972,9.40329016458094,9.18077468499154
"LOC4349837",10.0166889262502,10.0950977626155,9.91108388068021,9.79272054414296
"LOC4349840",10.105555407995,10.1849000697698,9.94643510383759,10.0291387358321
"LOC4349843",0.111402886533857,0.135656327938325,0.111942744646038,0.187870099019272
"LOC4349846",9.07347110722785,9.20507221620039,8.72695799553928,8.5911197301184
"LOC4349847",6.26719969829643,6.5479289871753,6.45358597245998,6.04384829144254
"LOC4349848",6.64209742828573,5.92463668636401,5.06193378721815,5.05506082158717
"LOC4349849",9.47465453987652,9.51463939744587,9.91590907978838,9.75240938786757
"LOC4349851",8.05876621928772,8.13781555677145,7.65012914329284,7.99688513837775
"LOC4349852",6.75331768076006,6.55052339530339,6.80716362165725,6.57321728035533
"LOC4349853",6.72277436134655,6.72878658722944,7.11467218686952,6.70491478803884
"LOC4349859",10.735109271002,10.5768602310285,11.2400248520762,11.201488027222
"LOC4349862",7.38400766499205,7.58159822059111,6.59850767049353,5.90362940079232
"LOC4349863",11.8125660495649,11.6829603472107,12.2857715958747,12.4129254525768
"LOC4349866",7.09141046808485,7.17896062098984,6.23309790855007,6.24471880597893
"LOC4349867",8.74002532148351,8.64933037081205,8.91993477709032,8.76786626581004
"LOC4349868",8.68470850079322,8.65985195274717,9.58361387877054,10.6095709903129
"LOC4349870",-0.558481357876437,-0.534363555249707,-0.558143322721382,-0.519432357642692
"LOC4349871",6.9883393868332,6.99907997167394,7.44088999502027,7.08879276451078
"LOC4349872",7.7856687592993,7.959252427904,7.41628727598514,7.20605377533385
"LOC4349873",6.74119942993237,6.65071613382685,6.20259913076444,6.54957599849305
"LOC4349874",0.822696143874488,0.807126723670737,0.736374479401757,0.734937620242241
"LOC4349875",4.11373066320074,3.91956364458098,4.34825518435338,4.86980068181144
"LOC4349876",12.6462035003507,12.469184075587,13.1152731784962,13.0542715443578
"LOC4349877",-1.72829673971194,-1.72784370398162,-1.7273911871809,-1.71839970963333
"LOC4349878",12.0608474735116,11.8293620683903,12.1031861116275,12.0485014722514
"LOC4349880",9.03189931980019,9.04414411075524,8.77344244832282,8.84593417442502
