"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4349814",6.40155262799046,6.91769110519065,6.4982006823949,4.96747760836336,4.93200771570874,5.11572886049048
"LOC4349815",4.67044032939656,4.72071299463271,4.81670980322109,4.81976781195752,4.64642076597033,4.77935812013703
"LOC4349816",11.8029554625297,11.8051861796912,11.9160183017925,11.4232580429251,11.3396501110821,11.5886954829924
"LOC4349817",6.98066159424509,6.66770828838155,6.95183481947684,7.38897163949919,7.4058604802115,7.48332619439833
"LOC4349818",6.8896319816255,6.73809698781044,6.78545548048098,7.67983740632634,7.61241728358907,7.71624749328386
"LOC4349819",14.4293010936968,14.0833624290262,14.2151094055294,13.8494308298679,13.8958040286192,13.8814173253665
"LOC4349820",8.81100895687118,8.9532129133241,8.97925367490665,9.74142477042995,9.85820537465322,10.2207976256573
"LOC4349821",6.93327504939362,6.88088734358231,7.02075231250923,6.82915411326466,6.33338834279769,6.63656847014999
"LOC4349822",4.36278294588843,5.64603435185166,4.21307422510166,4.10144185430193,4.10370748005816,4.28817921960722
"LOC4349823",7.62077192001744,7.56628399366225,7.86757022300177,7.97420345279939,7.99427533583675,8.43380235877461
"LOC4349824",5.93649996624922,6.16397102747502,5.88662055611879,5.55699601535577,5.75509709272157,5.73463179864284
"LOC4349825",10.9961845047756,10.8763831411572,10.93796112519,10.8427225683119,11.1546994166404,10.878203655058
"LOC4349827",12.6255928333693,12.562146804136,12.5547274137874,12.7181717040362,12.6973837572783,12.6898484218654
"LOC4349828",13.1427046743608,13.1500464720442,13.269994015125,13.2035252476031,13.2439084886069,13.7276807806223
"LOC4349829",8.2954688413153,8.28219935962142,8.35771871853681,8.39507906169884,8.54732228353627,8.78850162817083
"LOC4349830",10.6399374905351,10.6987392563462,10.7709105478767,10.7129912484372,10.6422057455352,10.648417742186
"LOC4349831",11.7190671391202,11.3704449599646,11.5159977048283,12.3583245806968,12.2955163486082,12.28063499492
"LOC4349834",5.62199942973102,5.52571671586311,5.50825395308801,5.70718745764956,5.82193718557193,5.83924155407095
"LOC4349835",11.3857956935125,11.3334634351075,11.168691188,10.9446194981204,11.1320729755189,10.7866521532262
"LOC4349836",11.1238699805037,11.0992919708204,11.1408267212716,10.9530972861597,11.0849399251257,10.8141212175449
"LOC4349837",9.90938984483613,9.8381295768998,9.92045912104459,10.231668883108,10.4622001553309,10.5434292127356
"LOC4349840",12.1429056475592,11.9656020639567,12.0399437726127,12.0338889872503,12.0489744621317,11.8326790869859
"LOC4349846",11.1723550918572,10.8804673849147,10.9464295879181,9.95484266512292,9.98765398374526,9.8550267094627
"LOC4349847",7.80444208576953,7.85413264443709,7.71062414047426,8.9045701735482,8.70081525692992,8.88446494266983
"LOC4349848",4.50194303408996,4.31708214293205,4.20725796101755,4.31808246647905,4.246616551026,4.56104730357291
"LOC4349849",11.4920201936359,11.5128972384027,11.6415403107619,12.176196623593,12.0383398941472,12.2458993108949
"LOC4349851",10.2189524064993,10.1937192057176,10.200124716161,10.0613543254668,10.0703211116868,9.90989595238771
"LOC4349852",9.00347844365974,9.14665260390706,9.26399295634794,9.68439905683113,9.69421101036161,9.36430945948098
"LOC4349853",8.94021243982124,8.99387481186345,8.92685430895737,9.19843821133302,9.06406108355483,9.09811805222738
"LOC4349859",13.3129722652987,13.3621567043586,13.3953330030804,13.4338627289174,13.4675139020074,13.5617590310033
"LOC4349862",9.15373766666145,9.20904688587522,9.00419634128637,8.81831937417271,8.77131590773322,8.64262782163211
"LOC4349863",13.3640392370591,13.2360304261013,13.2810976801761,13.4517696390926,13.3368319182053,13.2617667037328
"LOC4349866",9.33067673752245,9.4389703334944,9.3535365822801,8.83453008038667,8.7967569650076,8.71425873645594
"LOC4349867",10.8141602801502,10.798240959539,10.8877967788049,10.4956739629171,10.4957033035548,10.6130399225847
"LOC4349868",8.89370284517002,9.01043675223602,8.8982698252327,9.0515566619692,8.67259861301789,8.8419601341012
"LOC4349871",10.782654203294,10.7986777148662,10.556331315447,11.8887485296926,11.990649118135,11.9666039209545
"LOC4349872",8.75435239245661,8.82949387975351,8.85215198888829,9.03819653792012,8.97036385884192,8.75823352375382
"LOC4349873",8.93021328176833,9.0492535238115,9.06064737447564,9.09696633140892,9.02514423956675,9.01381237955184
