"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4341932",57.6797002769495,56.8666089346837,48.5021451154444,3590.80951811593,3020.71437942407,4501.59595333518,1879.36138420038,6.10021117791889,0.188893950722775,32.2943702250777,8.391097768072e-229,7.58555238233708e-226
"LOC4332926",337.838244479276,300.062106719182,291.012870692667,6708.23257242879,7657.48238523552,9789.515044545,4180.69053735007,4.70229279792904,0.145862298745394,32.2378903827439,5.20031554202814e-228,4.53318934820796e-225
"LOC9267999",979.377767967796,998.19047598115,944.515457511286,7028.63438634428,8244.32206067619,8179.42480984933,4395.74415972167,3.00548662767078,0.0943939692169331,31.8398161726167,1.82111829293422e-222,1.53275363082546e-219
"LOC107276470",169.507690609811,142.771486261546,97.8552050574756,4763.69183392067,4046.66357557,4422.54759555943,2273.83956449649,5.02737336388205,0.160730071155308,31.2783620871061,9.18976273902868e-215,7.47679096447373e-212
"LOC4330753",549.722857741539,446.463376529751,628.826056847604,6079.93712351944,5914.91951031782,6124.16750767966,3290.67273877264,3.4742693560403,0.119303768593508,29.1212037725132,1.93506143639811e-186,1.24292051420013e-183
"LOC4324968",361.380979286194,287.962828222441,293.565615172427,4145.01806110488,4360.89622514532,5318.08228036109,2461.15099821539,3.87579295623481,0.133722047577408,28.9839486191775,1.04843433485209e-184,6.24150859635848e-182
"LOC4341465",1692.72263261742,1570.48634887701,1143.62952693258,23543.2792333276,25823.3942854899,21427.3055070837,12533.4695890547,4.00754237388157,0.139883668577576,28.6491083243151,1.64457912496288e-180,9.55735411478426e-178
"LOC4350698",92.9938024873268,70.175815281099,81.6878233523275,2542.04682391808,1962.11763527033,1964.76773471584,1118.96493917083,4.72242550591473,0.166211569360607,28.412134751397,1.43192292859496e-177,8.12799414910366e-175
"LOC4332422",476.740379840093,427.104530934965,487.574195634205,13533.849593199,18996.7919970536,10617.442581249,7423.25054631847,4.95392793278574,0.177724203693426,27.8742446432973,5.47677416016164e-171,2.84419369577075e-168
"LOC4343921",667.43653177613,513.009408261828,666.266309217421,6689.95138785103,7666.46046093767,6191.77465577735,3732.4831256369,3.47409674383704,0.127033027647487,27.3479803494692,1.14130689376785e-164,5.68510584960932e-162
"LOC4342302",2660.32903318175,2493.66129817836,2483.82037880671,14502.7523758203,12780.6988563636,15293.7770096674,8369.17315866968,2.47895567111785,0.0915426006431874,27.0798038694604,1.7029679108639e-161,7.99346937853196e-159
"LOC4328109",1200.67947515283,1053.84715706616,896.864227222429,23157.4500219759,34732.0939481254,21062.2269073562,13683.8602894831,4.64793920220485,0.175055868824186,26.5511761097991,2.48913209966558e-155,1.10463156888432e-152
"LOC4330031",482.626063541822,498.490274065738,425.457413293372,3268.48336898173,3578.98745035789,3054.80298404469,1884.80792571421,2.81950066808874,0.108652658704677,25.9496702768433,1.83394651106371e-148,7.46049440700717e-146
"LOC4330713",35438.8787048539,31280.2646976251,30531.674892759,154386.528094407,149431.091986619,138342.94698734,89901.8975606006,2.18484032796475,0.0872177428323205,25.0504112697022,1.72792553631068e-138,6.39018280155621e-136
"LOC4337884",6604.91425008089,6736.87826698551,7065.99671997633,27693.1081324793,28193.6062708581,32061.3898478644,18059.3155813741,2.10731392341562,0.0843447081503645,24.984542238961,9.00178685808441e-138,3.18428425553803e-135
