"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_49",0,0,4,0,2,0,0,0,0,7,0,0,3,0,0,0,0,0,340,110,220,269,253,306,371,213,118,173,285,181,286,232,193,230,250
"ASV_50",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,103,213,146,120,371,154,83,122,213,39,69,623,198,429,253,468,115
"ASV_51",96,75,70,108,47,108,37,282,70,56,119,213,48,36,91,107,12,142,24,487,105,81,19,58,76,98,553,49,67,119,29,48,30,0,0
"ASV_52",13,0,0,0,6,0,8,9,8,0,0,18,0,0,0,0,0,0,144,230,209,246,522,221,146,152,175,128,121,169,192,218,173,96,256
"ASV_53",32,53,34,58,139,134,29,37,60,43,48,109,0,0,35,42,21,27,79,167,123,198,116,283,148,109,243,277,167,214,67,238,74,50,108
"ASV_54",0,0,13,0,19,33,17,0,19,19,12,13,0,0,0,14,7,0,125,208,199,222,118,304,194,158,452,141,238,357,115,317,141,70,107
"ASV_55",131,51,43,83,16,17,353,61,194,63,145,99,75,116,21,31,63,268,64,17,147,49,16,51,102,0,0,0,131,22,15,86,49,28,89
"ASV_56",107,111,147,119,258,306,74,180,112,237,376,199,102,67,161,350,22,161,6,57,10,36,2,15,20,22,16,0,0,7,4,4,7,7,0
"ASV_58",0,0,6,0,0,0,4,0,0,2,0,0,0,0,0,0,0,13,411,119,123,204,120,370,211,118,36,97,104,74,265,336,182,66,173
"ASV_59",92,141,207,106,219,261,81,234,188,188,370,223,101,36,77,116,42,168,8,34,97,25,17,39,20,26,28,18,6,20,13,10,23,11,0
"ASV_60",36,60,61,139,192,173,56,56,71,50,95,195,26,38,78,146,32,24,64,171,112,95,63,139,104,92,141,185,83,184,44,79,69,43,95
"ASV_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,286,138,141,260,97,306,257,136,0,78,187,71,346,463,117,81,175
"ASV_62",143,126,191,143,75,74,201,184,167,50,319,80,68,109,44,8,50,234,48,15,27,12,5,34,17,10,0,13,42,19,0,12,0,0,11
"ASV_63",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,10,2,4,0,0,0,12,6,0,16,0,5,0
"ASV_64",36,150,268,83,68,113,64,102,47,251,104,0,61,55,156,76,24,143,70,120,404,57,68,84,80,176,21,20,26,18,17,71,0,0,34
"ASV_65",84,43,22,22,52,90,55,61,35,30,24,46,22,43,24,14,67,139,89,200,247,84,142,99,256,113,33,66,88,79,148,210,126,86,138
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,211,236,219,209,154,207,116,87,147,256,136,157,148,194,84,163
"ASV_67",177,157,178,303,111,238,115,380,218,165,170,87,74,0,164,185,60,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,163,120,148,255,88,117,193,154,204,193,193,122,183,179,152,180
