"","Stock","Genus2","Phylum","Class","Annotation","variable","value","group"
"99","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S3",0.0245424378228593,"Soil"
"100","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S4",0.00223191432725188,"Soil"
"101","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S4",0.00255270935288135,"Soil"
"102","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S4",0.00745336527632738,"Soil"
"103","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S4",0.272525612411355,"Soil"
"104","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S4",0.00054603408617783,"Soil"
"105","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S4",0.00233429571841022,"Soil"
"106","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S4",0.000846352833575636,"Soil"
"107","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S4",0.0167154684631188,"Soil"
"108","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S4",0.243224058261837,"Soil"
"109","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S4",0.427032782521449,"Soil"
"110","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S4",0.0245374067476162,"Soil"
"111","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S5",0.00309281558231432,"Soil"
"112","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S5",0.00186689069354989,"Soil"
"113","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S5",0.00639098914091913,"Soil"
