"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","ID","cl"
"LOC4341435",-1.39221831256193,-1.38644818867801,-0.399063488747546,-0.720774474430577,-0.175785542668573,0.418315106548375,0.12630276557189,1.31015245208495,0.93764309877103,1.28187658411039,"LOC4341435",6
"LOC107276455",-1.08486533854858,-1.08486533854858,-1.08486533854858,-1.08486533854858,0.389869619183417,0.393411413848596,0.348000152503606,0.993682951089957,0.646277323552968,1.56821989401576,"LOC107276455",6
"LOC4337164",-1.18530573581153,-1.24395672269405,-1.10484250443093,-1.05690176553683,0.63205171550899,0.612485346746356,0.518608601695384,0.948562435149626,0.957935480995912,0.921363148377077,"LOC4337164",6
"LOC4342974",-1.23345477180129,-1.26229305899391,-0.987515295921387,-1.07060001252025,0.556001808877634,0.493297480983686,0.589968388787526,0.890963828162261,0.907095804538365,1.11653582788736,"LOC4342974",6
"LOC4346210",-1.17496352041804,-1.22487249210606,-0.975028995591555,-1.04122836754936,0.6753118314012,0.374853220555921,0.189416218701007,0.946846300168996,0.928221245681013,1.30144455915688,"LOC4346210",6
"LOC112937858",-1.1481297911379,-1.1481297911379,-1.1481297911379,-1.1481297911379,0.624077540937533,0.591950907963228,0.576785441536899,0.981625669638943,0.77059098263531,1.04748862183968,"LOC112937858",6
"LOC4334644",-1.17728010593919,-0.874005061711836,-1.16456527197609,-1.19256021964859,0.650988444543223,0.180281183991967,0.450118369332606,1.25397915671083,1.14414043735869,0.728903067338391,"LOC4334644",6
"LOC4346954",-1.15613914449976,-1.15613914449976,-1.15613914449976,-1.15613914449976,0.699152026995554,0.632042416611493,0.624581884406121,0.913285506281836,0.879178643039099,0.876316100664918,"LOC4346954",6
"LOC4351235",-0.664599234837442,-0.640641088897846,-0.752534720402651,-0.795024920219076,-0.291351062207404,-0.240336329133506,-0.476137109526253,1.03453751255301,0.542265494711903,2.28382145795926,"LOC4351235",6
"LOC4338381",-1.08895791944513,-1.17224681377148,-1.18626818357956,-1.15246412828505,0.621462144583802,0.583393613432905,0.585337312300884,0.892789647597498,0.936240804517371,0.980713522648764,"LOC4338381",6
"LOC112936220",-1.1567047645416,-1.1567047645416,-1.1567047645416,-1.1567047645416,0.691283512717725,0.673796447691718,0.621066626648095,0.831977651920193,0.86785932688819,0.940835492300461,"LOC112936220",6
"LOC4334324",-1.37818437708812,-1.10031331627198,-0.89541028929278,-0.957452299381821,0.605228619099576,0.439172283098938,-0.000988336365055578,1.09223489826835,1.03184685594238,1.16386596199052,"LOC4334324",6
"LOC4335043",-1.25430149130925,-1.07580671908645,-1.10144965613563,-0.942220711630075,0.296627091456648,0.309783426332124,0.387554320127602,0.993776413249744,1.19876677350151,1.18727055349378,"LOC4335043",6
"LOC9268985",-1.11786937799402,-1.18179944892816,-1.1064814880942,-1.02375796362218,0.563001250811206,0.398698855216428,0.276454911715957,1.24499279911874,0.7684012767507,1.17835918502552,"LOC9268985",6
"LOC107279667",-1.16221683021043,-1.16214865903738,-1.15169057458614,-1.14648325697191,0.687329645363623,0.644844844206245,0.619773027884558,0.858000842357998,0.848965149288399,0.963625811705041,"LOC107279667",6
"LOC4325619",-1.02596788577344,-0.854172783110371,-1.21774247536943,-1.25606455600781,0.373804079011115,0.240845981016456,0.441034154713332,1.09171901353633,0.839959884251273,1.36658458773255,"LOC4325619",6
"LOC107279212",-1.15788708258486,-1.15788708258486,-1.15788708258486,-1.15788708258486,0.720865602668085,0.60644601997174,0.705916032347972,0.889210470424203,0.84396095427987,0.865149250647551,"LOC107279212",6
"LOC107278411",-1.32977381692956,-1.28239509000106,-0.41483951034849,-0.0676599721869106,0.14122253720404,-0.610819098675338,-0.158314376132526,0.90884358792838,1.08450437320626,1.72923136593519,"LOC107278411",6
"LOC107279053",-1.289050422974,-1.13315677988229,-0.939947913677123,-1.14171277570204,0.494686813502665,0.475831054305505,0.429596717890778,1.03494594686718,1.01834220037465,1.05046515929467,"LOC107279053",6
"LOC4343848",-1.6051685164108,-1.56319594500177,-0.313290775021995,-0.313185191687715,0.506752285844696,0.0230845496835409,0.0218911633373884,1.19287228485548,1.00145801461222,1.04878212978895,"LOC4343848",6
"LOC107280303",-1.22803266257437,-1.15802761965754,-0.950398932590451,-1.10315983720452,0.451495384749581,0.253879084322285,0.513790283017006,1.08493632613829,0.924406994489354,1.21111097931037,"LOC107280303",6
"LOC112937327",-1.15981434238109,-1.15962790043983,-1.15944167205841,-1.15574132699373,0.695128865105312,0.695634732077072,0.689649625763028,0.942856330609678,0.798236248090443,0.813119440227527,"LOC112937327",6
"LOC107278203",-1.22658459866847,-1.13799623951274,-1.07453693775843,-1.12560725003997,0.592283159346038,0.526117876200628,0.557650879648069,0.828377756355435,0.904367265041308,1.15592808938814,"LOC107278203",6
"LOC4346145",-1.0698700043966,-1.13008818309237,-0.800689903296134,-1.25164026529408,0.444319494943256,0.391186035181187,-0.051020527837326,1.12145458927821,1.23311233781257,1.1132364267013,"LOC4346145",6
"LOC4333667",-0.00847327266674752,-0.362182250210877,-1.66806724041985,-1.11453249542024,0.265355506095774,-0.325780948121483,-0.36332077944168,1.61705106454592,0.982758963676588,0.977191451962604,"LOC4333667",6
"LOC9270987",-1.10635797404034,-0.900052940682376,-0.831830268452671,-1.44837916442067,0.393561405458255,0.321567540178648,0.18351152311226,1.17845699188624,1.26969115608471,0.939831730875955,"LOC9270987",6
"LOC107277416",-1.14706295133514,-1.17942106266657,-1.1734548322161,-1.04948017207629,0.536195586688149,0.472288841781097,0.533009231882892,1.05471760371386,0.9867744248064,0.9664333294217,"LOC107277416",6
"LOC4331227",-1.31645946211582,-1.14110576967669,-1.127516830479,-0.866582946780343,0.56127089395407,0.390391208375498,0.370291091793772,0.855741395648901,1.23758845413814,1.03638196514148,"LOC4331227",6
"LOC4324954",-1.15709405911038,-1.15709405911038,-1.15709405911038,-1.15709405911038,0.686030576779383,0.630379205151602,0.670541134199552,0.874291856213292,0.907288625529472,0.859844838568211,"LOC4324954",6
"LOC4340445",-1.16001448571958,-1.15973224851543,-1.15945033459976,-1.14815953215345,0.612668277731031,0.688781643580918,0.686035944048916,0.888586136412489,0.916139409681095,0.835145189533779,"LOC4340445",6
"LOC4342649",-1.11701594483511,-1.27292135258156,-1.05552220212419,-0.971321087408638,0.533271406942305,0.535657422419409,0.119139438743918,0.982916968428521,1.14445245178395,1.10134289863139,"LOC4342649",6
"LOC9266387",-1.21720792899181,-1.05225167247759,-1.08370676846471,-1.07868980289685,0.431645720539937,0.50066958539766,0.22384307056728,1.03077048460956,1.16575530081663,1.07917201089989,"LOC9266387",6
"LOC4344873",-1.01284616799553,-1.14458977838151,-1.24357253550817,-1.1772515921149,0.488133007596677,0.658268795927385,0.566839811820879,0.943170487931618,0.925970277836135,0.995877692887416,"LOC4344873",6
"LOC4348660",-1.18568773774856,-1.18530622504601,-1.05928024961585,-1.18621520922974,0.655974240355034,0.638689360104586,0.61509319164796,0.927267819925743,0.903398425977271,0.876066383629573,"LOC4348660",6
"LOC4341917",-1.54834132651451,-1.42678317016798,-0.415492900420612,-0.59008331129286,0.251047724685378,0.173600166714961,0.152712750469487,1.07948512971927,0.98279893032056,1.34105600648631,"LOC4341917",6
"LOC107278263",-1.15560973218976,-1.15560973218976,-1.15560973218976,-1.15560973218976,0.685066380313124,0.627791233428982,0.623941178908462,0.873469903919715,0.923319765218723,0.888850466970043,"LOC107278263",6
"LOC112936914",-1.14813328825646,-1.13715005042312,-1.15929190718577,-1.08707648486982,0.453458220267187,0.568392553199821,0.465792140194793,0.876452092235198,1.08147753761509,1.08607918722308,"LOC112936914",6
"LOC4349629",-0.211688416219424,-0.882072757702731,-0.763056918668862,-1.33317229599791,-0.002838024834178,-0.306919459972425,-0.138989023567081,0.409488293967519,1.21318816599388,2.01606043700123,"LOC4349629",6
"LOC4329466",-1.14420862783785,-1.1960431310178,-1.14900818470053,-1.07233151463291,0.442241220828899,0.529102206367254,0.635111476694962,0.99511749047534,0.989052313735009,0.97096675008763,"LOC4329466",6
"LOC4348206",-1.14768810104098,-1.14756736208582,-1.10253122512144,-1.14785438039369,0.550963364003706,0.678830119341217,0.345532031285106,1.05801974055041,0.93217253688032,0.980123276581173,"LOC4348206",6
"LOC4332587",-1.2646011874361,-1.17800927165865,-1.05039259802023,-1.08927837455474,0.629817549354783,0.574411237537313,0.576255317172287,0.808341728662784,0.886754082738282,1.10670151620428,"LOC4332587",6
"LOC4333371",-1.1602430131371,-0.280732435185571,-0.559279694797319,-0.562781469655907,0.18246028228836,-0.890991729385781,-0.719958788178373,1.76332606936672,1.04986708176625,1.17833369691872,"LOC4333371",6
"LOC9271612",-1.16172971543146,-1.16146838514274,-1.15510830627641,-1.16211973522069,0.70795816448812,0.708360455393758,0.703630533238315,0.843078043540289,0.859775016715458,0.817623928695359,"LOC9271612",6
"LOC112937877",-1.11226251958344,-1.15952456398733,-1.10463408346078,-1.16019696095242,0.653305856482044,0.324414087751148,0.560725661425497,1.03336066996766,0.920932212899342,1.04387963945827,"LOC112937877",6
"LOC4351119",-1.13914623422994,-1.13146048746265,-1.04372343910436,-1.18066658319567,0.618360278495452,0.318229302486931,0.484128227222962,0.821613906933563,1.06117085857579,1.19149417027793,"LOC4351119",6
"LOC107279766",-1.10961097151009,-1.10961097151009,-1.10961097151009,-1.10961097151009,0.487149897643811,0.347780634315986,0.453078004244967,0.917081299108098,0.819578868029115,1.41377518269838,"LOC107279766",6
"LOC4331994",-0.853112050909812,0.070569858591808,-1.30646618524825,-0.58661506576234,-0.56642500877735,0.195703411730141,-0.790964261494479,1.2040231669137,0.91995849792749,1.71332763702908,"LOC4331994",6
"LOC9268438",-1.27116277870839,-1.28373192412926,-1.03180960289201,-0.960295317241414,0.580438996225231,0.518623277150793,0.530368931222558,0.94575442283874,0.876975817419724,1.09483817811403,"LOC9268438",6
"LOC107277727",-1.15749711022418,-1.15749711022418,-1.15749711022418,-1.15749711022418,0.652222162996709,0.681574524794991,0.675640644099272,0.825553702614982,0.867273414097028,0.927723992293724,"LOC107277727",6
"LOC4325015",-1.1305568966983,-1.1520011258433,-1.1483748110898,-1.17178947034751,0.605380203432361,0.567194712418939,0.628514285656607,0.923534566993898,0.899610396498442,0.978488138978659,"LOC4325015",6
"LOC4335579",-1.15595443420774,-1.15595443420774,-1.15595443420774,-1.15595443420774,0.645554917035756,0.66336930249982,0.645023743273594,0.934354075561014,0.827777453862112,0.907738244598678,"LOC4335579",6
"LOC9268627",-1.33223300516596,-1.07522888132849,-1.12960640421652,-0.905135352057752,0.471378155880954,0.311982352260752,0.465948723845736,1.22533792736539,0.980132865290053,0.987423618125839,"LOC9268627",6
"LOC4341087",-0.769797355649099,-0.909326277386307,-0.980486840819313,-1.26911339960089,-0.09659747172785,0.379762912131689,-0.0466369228775958,0.866761224742215,1.1782021328938,1.64723199829334,"LOC4341087",6
"LOC4350038",-0.977553572528107,-1.27878506691287,-1.12280015982569,-0.966828767135606,0.312378004484096,0.314896005928945,0.285309713722392,1.20300907099657,1.1375695389421,1.09280523232817,"LOC4350038",6
"LOC9271549",-1.19064370833354,-1.20869532086399,-1.09089532186324,-1.06643642901594,0.506519648731764,0.397218793213962,0.759667376569766,0.886277704420984,0.963760903025341,1.04322635411489,"LOC9271549",6
"LOC107279469",-1.16360710719258,-1.16349993569582,-1.14433275018464,-1.14189055803243,0.698355958652202,0.623914178129574,0.589616595365166,0.944378215458877,0.975402727946965,0.781662675552681,"LOC107279469",6
"LOC4348710",-1.36694746936126,-1.22669349386306,-0.715993237525186,-0.841663519412386,0.583145741428107,0.0930835801803309,0.0933158634469572,1.41121268650566,0.745303636045951,1.22523621255488,"LOC4348710",6
"LOC107278789",-1.79083695843517,-0.845230394384909,-0.751066357377871,-0.730208038085097,-0.104793970520771,0.623632120544794,0.411794040976947,0.986672604809992,1.00486895910384,1.19516799336824,"LOC107278789",6
"LOC107275753",-1.15353495068024,-1.15353495068024,-1.15353495068024,-1.15353495068024,0.653931919433579,0.654682801661345,0.645808160658914,0.735253015012077,0.885596109302854,1.03886779665219,"LOC107275753",6
"LOC4341273",-0.939466676030913,-1.5139089716535,-1.14188663529102,-0.749206815788456,0.377031646305676,0.588166611802165,0.185310334091364,0.94774130875055,1.03126904851696,1.21495014929717,"LOC4341273",6
"LOC107276761",-1.26429669906428,-1.26252609563629,-0.833854286301741,-1.10563332916369,0.476896867597665,0.406848683140406,0.482878934740726,0.859841621442918,1.03065771031494,1.20918659292935,"LOC107276761",6
"LOC4345373",-1.33881455730155,-1.15832623318368,-0.965892698984124,-0.927335321472196,0.344630401907973,0.550482610676712,0.328571216202655,0.710595739378073,1.12301193842532,1.33307690435081,"LOC4345373",6
"LOC4337691",-1.16953923736311,-1.19260265191213,-1.09189104792279,-1.11103332381825,0.573675314588468,0.569013475643423,0.530443642230361,1.02854685048358,1.09751188589784,0.765875092172607,"LOC4337691",6
"LOC4339336",-1.30739886015781,-1.17821842226706,-0.577433318595657,-0.895338655315201,0.631436050301397,-0.00112092651211333,-0.159824091696575,1.15241932402792,0.788337685936955,1.54714121427814,"LOC4339336",6
"LOC4342358",-0.956127097090532,-0.444203091148523,-0.456780388527275,-0.498766868786241,-0.366311934985331,-0.145970383362302,-0.884775160069655,0.171323015466928,1.63357126075197,1.94804064775097,"LOC4342358",6
"LOC4339511",-0.848338537337605,-1.00497673653395,-0.99757325880074,-1.33356796258197,0.755048592607155,-0.032211578904506,0.0751447954918058,1.17791811632101,0.887884298509292,1.3206722712295,"LOC4339511",6
"LOC4350584",0.708120088893285,0.733877237270512,-1.58617522204935,-1.50511564947165,-0.224546019261158,-0.394748750525562,-0.274201915249221,0.239926974213712,0.844775090107617,1.45808816607181,"LOC4350584",6
"LOC4338562",-1.15973820848161,-1.15956936814489,-1.15940072120627,-1.15604971819453,0.710832298888933,0.678174795064994,0.67084638160293,0.805692427580762,0.872142722161296,0.897069390728396,"LOC4338562",6
