"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4345612",2.28958,2.001568,1.561313,5.399225,5.711791,3.941054,278.103251122841,1.40769934482484,0.2131649251978,6.60380380833576,4.00739796948389e-11,2.9768268804291e-10
"LOC107275633",0.35431,0.178559,0.31095,1.220495,1.138926,2.057012,77.9381676113743,2.43139853123143,0.368186573151011,6.60371319470738,4.0098494223565e-11,2.97756022819828e-10
"LOC4344884",4.089956,3.750838,3.311177,8.340671,6.047097,8.121603,714.69766832453,1.05239261260414,0.159371329173815,6.60339985905728,4.01833769179471e-11,2.98295579018629e-10
"LOC112938346",0.039736,0.079015,0.12501,0.878545,0.55104,1.159398,43.7223851445009,3.4122748786358,0.51743354504719,6.59461473129771,4.2636159001433e-11,3.160228876122e-10
"LOC107277031",1.180337,0.373777,0.413122,7.981967,5.876959,8.182852,340.747614108928,3.53140487239906,0.535700627243882,6.59212383335769,4.33578699863083e-11,3.2117720504577e-10
"LOC107276133",0.409843,0.47697,0.415585,1.32021,2.039433,1.881258,75.2885150223315,2.05115716657814,0.311846508451588,6.57745753435803,4.78560469714412e-11,3.52784776345193e-10
"LOC4339960",13.767915,2.958468,3.735191,166.630778,127.696724,170.301482,3613.9897279548,4.54854099416049,0.691694373367328,6.57594042874332,4.8346609812492e-11,3.5629349405293e-10
"LOC4342809",1.483704,1.137316,1.487104,3.310495,3.476858,4.849141,155.895298124222,1.53880846028045,0.234730038975036,6.55565204606854,5.53992701821271e-11,4.07162115810105e-10
"LOC107277610",4.540727,7.667142,3.120973,14.943113,17.358486,17.7207,454.292295728108,1.74264969081336,0.26585666042274,6.55484684131053,5.56990129260439e-11,4.0911872028254e-10
"LOC4352577",4.507648,6.303438,5.652228,11.826314,12.811138,12.229316,216.047144236782,1.20321276697637,0.183720601687432,6.54914449400409,5.7867621116625e-11,4.23899428635829e-10
"LOC9270535",0.639966,0.467006,0.246011,4.226126,3.044881,14.289848,69.8332411848967,4.03626416930701,0.616947444367924,6.54231443237803,6.05739753162737e-11,4.4305951139335e-10
"LOC9272462",0.441439,0.275631,0.662713,2.299052,2.569824,2.048966,61.4539754803362,2.36113907687994,0.361152588841741,6.53778804258993,6.24353210055478e-11,4.55990818403175e-10
"LOC4345909",3.114994,2.24205,2.853727,5.334423,4.818936,6.076658,489.947424481235,1.02128639923996,0.156577784377894,6.52254981955247,6.91220924328477e-11,5.02421689130717e-10
"LOC4336602",5.832244,5.38976,5.406914,10.37831,11.933369,15.602908,285.644414634519,1.22773360972609,0.188737221342979,6.50498932319772,7.76988983547333e-11,5.6092123958661e-10
"LOC4334529",2.344047,1.152404,2.365238,5.702302,5.086653,6.865601,255.505906673902,1.63207385199018,0.250975337749059,6.50292521419785,7.87729632261474e-11,5.67500143572552e-10
"LOC4351517",9.213252,9.438193,7.626942,21.448023,15.8301,15.597073,921.017426408243,1.04855691471855,0.161421692157907,6.49576212900075,8.26141038264133e-11,5.94295622220777e-10
"LOC4352648",1.765052,1.844644,1.610219,5.527931,5.404264,3.499427,187.482543837751,1.51367308352541,0.23319021911289,6.4911516841649,8.51826601261796e-11,6.12051330102971e-10
"LOC4347208",13.542589,12.094666,11.214078,42.862264,21.344219,27.973865,1737.64204583772,1.36363525366411,0.210274188311156,6.48503396739429,8.87117967592522e-11,6.36097983343075e-10
"LOC107276115",0.051471,0.035268,0.128494,0.851983,0.894388,0.810907,32.0518476001333,3.53808992467276,0.545761585143464,6.48284896003206,9.00065930704353e-11,6.45192635437059e-10
"LOC4352802",0.133015,0.248516,0.15819,0.876086,1.531834,1.080931,49.4629683705319,2.75726944405591,0.425427044431549,6.48118045184491,9.10077455782232e-11,6.51794910232768e-10
"LOC4348914",1.352422,1.295043,1.734087,3.18051,3.762529,4.560102,173.48683189692,1.42229534921714,0.219686328954549,6.47420964238243,9.53094968229808e-11,6.82403695645443e-10
"LOC4340737",0.881666,0.790686,0.898372,1.862847,1.632019,1.922593,210.955077700636,1.11377563775429,0.17229587148274,6.46431994086329,1.01755378653012e-10,7.25787633595181e-10
"LOC107278978",14.6547,12.627224,16.782858,26.475936,35.810046,25.572244,783.815816937492,1.03514534788973,0.160175349388411,6.46257586977129,1.02935505969923e-10,7.3377623531363e-10
"LOC4324579",0.055259,0.029429,0.043508,1.712033,1.055647,1.257103,28.6216556204869,4.98154389056072,0.771651599777987,6.45569048518006,1.07726582865584e-10,7.66809692208569e-10
"LOC4345816",0.340456,0.749726,0.545571,3.052548,2.496534,3.090352,52.7294299989079,2.42472597719915,0.375872079850808,6.45093399371824,1.11162911616506e-10,7.90371017775659e-10
"LOC4329943",131.013191,51.060175,62.215845,594.061075,525.903701,658.426166,9234.45058857024,2.90491212723687,0.450782135340672,6.44415982687851,1.16242538749773e-10,8.25261165155458e-10
"LOC9271815",10.62018,11.223611,13.542155,21.161209,26.512349,36.172268,484.726786343876,1.27954581883193,0.198725120545468,6.43877238730455,1.20443657624291e-10,8.5384513368972e-10
"LOC9269709",0,0.074401,0.055057,7.196204,4.160342,4.602296,44.7663381392133,6.98595015870418,1.0900154951421,6.40903747684196,1.46441197412455e-10,1.02888219529165e-09
"LOC9268907",0.042583,0.022034,0.037695,0.370916,0.239805,0.379587,33.4229247211882,3.36345131232139,0.526556071611106,6.38764130480962,1.68463919109334e-10,1.17616342609286e-09
"LOC4341174",8.004911,4.513342,4.191702,17.635202,15.982478,27.287098,178.382731156064,1.91288979794384,0.300301668891731,6.36989399693781,1.89158890530873e-10,1.31500717746441e-09
"LOC107278273",0.515056,0.626457,0.681129,1.805224,1.601049,2.153343,101.329334436512,1.64310857244413,0.258068589475923,6.36694522096201,1.92830003284612e-10,1.33938381336676e-09
"LOC4347746",6.62507,5.63036,5.032366,10.741798,10.755412,13.809396,423.693731304014,1.06884917687231,0.167917748021684,6.36531390793953,1.94890735321408e-10,1.35331239480083e-09
