"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","Kit_microbiota_vs_germfree_log2FoldChange","Kit_microbiota_vs_germfree_pvalue","Kit_microbiota_vs_germfree_padj","MH63_microbiota_vs_germfree_log2FoldChange","MH63_microbiota_vs_germfree_pvalue","MH63_microbiota_vs_germfree_padj"
"LOC107279614",30.6055552489936,38.7176911895719,34.8875078900565,9.62167609355821,9.79426440234772,9.36098973660274,0,0,0,0,-1.85510168653033,0.00015707339861246,0.000520549560534002,0,0,0
"LOC9269507",91.8166657469809,85.9048773268626,72.3277602598733,36.5623691555212,41.6256237099778,36.4038489756773,124.604527280835,133.676562979455,16.047927332986,8.49094608122037,-1.11801613684873,0.000157247895292709,0.000521057104032643,-3.42994513484976,1.51258053213494e-11,2.43337213972186e-10
"LOC4341343",217.770296963993,159.710476156984,107.21526814993,83.7085820139565,46.5227559111516,75.9280278635556,245.345348289396,236.828556459665,20.6330494281248,12.7364191218306,-1.23371341258737,0.00016266394568647,0.00053798124475818,-3.88255668989558,3.97163007917536e-22,1.43113859887043e-20
"LOC4347809",9.41709392276727,30.248196241853,22.1237854912554,0.962167609355821,3.26475480078257,0,12.5570453848903,9.47314225838658,10.3165247140624,0.849094608122037,-3.78515087540356,0.000166022772660793,0.00054812441973551,-1.01555337752067,0.467548425767545,0.628639832842806
"LOC4342381",30.6055552489936,75.0155266797955,11.0618927456277,4.81083804677911,6.52950960156514,5.20054985366819,28.0118704739861,15.7885704306443,2.29256104756942,1.69818921624407,-2.80246720003905,0.000167524980034026,0.000552635452449048,-3.47649457682814,0.00284519561707487,0.0107470666249449
"LOC4343563",36.4912389507232,20.5687734444601,8.50914826586744,2.88650282806746,0.816188700195643,2.08021994146728,0,0,0,0,-3.52083205659078,0.000169170948217819,0.000557613032289066,0,0,0
"LOC9271373",47.0854696138363,55.6566810850096,36.58933754323,15.3946817496931,3.26475480078257,14.5615395902709,63.7511534925202,52.6285681021477,30.9495741421872,31.4165005005154,-2.08698258657896,0.000171954872036354,0.000565795971510291,-0.900523657391144,0.0686062563746266,0.15393119697675
"LOC4341976",163.622006908081,141.561558411872,108.066182976517,82.7464144046006,64.4789073154558,53.0456085074155,56.9896675160408,32.6297122233316,22.9256104756942,27.1710274599052,-1.03889136116909,0.000172393171489953,0.000567085246593904,-0.837459192739207,0.168939300974073,0.305144810996553
"LOC4339870",55.3254267962577,48.3971139869649,62.1167823408323,12.5081789216257,26.9342271064562,14.5615395902709,0,1.05257136204295,1.14628052378471,21.2273652030509,-1.60616104263461,0.00017425230034612,0.000572969169722227,4.46616531749086,0.0495117278860211,0.118237835240592
"LOC4330193",32.9598287296854,41.1375468889201,45.0984858090975,14.4325141403373,12.2428305029346,7.28076979513546,34.7733564504656,32.6297122233316,21.7793299519095,18.6800813786848,-1.80702300960469,0.000176154179199368,0.000578910893482989,-0.740877555059671,0.23138479800941,0.38514473415761
"LOC107276287",44.7311961331445,41.1375468889201,46.8003154622709,9.62167609355821,19.5885288046954,7.28076979513546,0,0,0,0,-1.84012418817172,0.000177767629703316,0.000583427767352229,0,0,0
"LOC107281419",77.69102486283,87.1148051765368,73.17867508646,45.2218776397236,23.6694723056736,28.0829692098082,29.9437236101231,24.2091413269879,49.2900625227426,61.9839063929087,-1.29780508509106,0.000182116129426857,0.000596336260672221,1.04084531719431,0.0479758250292453,0.115350548056149
"LOC4348272",4.70854696138363,35.0879076405495,11.0618927456277,0,0,1.04010997073364,4.82963284034244,15.7885704306443,3.43884157135413,13.5855137299526,-5.65541721569403,0.000186954487729748,0.000611113584640108,-0.25289514438373,0.840712245184068,0.906872803220483
"LOC4343257",92.9938024873268,102.8438672223,81.6878233523275,49.0705480771469,45.706567210956,37.443958946411,64.7170800605887,50.5234253780618,11.4628052378471,12.7364191218306,-1.062612947203,0.000187237814888251,0.000611793920454141,-2.24806507729341,0.000188210775808828,0.000979057131155282
"LOC4334707",257.792946135754,416.215180287898,402.48271297553,46.1840452490794,3.26475480078257,3.12032991220091,871.265764397776,321.034265423101,12.6090857616318,53.4929603116883,-4.35753867822798,0.00018763240489791,0.000612837112103331,-4.16627275289617,0.000148359815905461,0.000792007984142708
"LOC4330358",128.307904697704,153.660836908613,97.0042902308889,73.1247383110424,57.9493977138906,43.6846187708128,0,0,0,0,-1.10914770801766,0.00018818505998808,0.000614313353509304,0,0,0
"LOC107276011",45.9083328734904,45.9772582876166,52.7567192483782,21.1676874058281,15.5075853037172,13.5214296195373,100.456363079123,95.7839939459088,79.0933561411451,84.0603662040817,-1.52934731007316,0.000188480181718885,0.000615112217595206,-0.265307683408254,0.446548405633532,0.610622467707136
"LOC4344563",68.2739309400627,71.3857431307732,36.58933754323,7.69734087484657,9.79426440234772,27.0428592390746,24.1481642017122,26.3142840510738,13.7553662854165,5.09456764873222,-1.99497126593579,0.0001888312737994,0.000616010923669575,-1.44724937069831,0.0967940599915544,0.199909181216185
"LOC4334398",28.2512817683018,16.9389898954377,7.6582334392807,0.962167609355821,0.816188700195643,0,6.76148597647941,10.5257136204295,10.3165247140624,5.94366225685426,-4.83128035819708,0.000191232762050494,0.000623012447427718,-0.0978025361181875,0.929526998627267,0.958275700662155
"LOC4330270",69.4510676804086,55.6566810850096,77.4332492193937,19.2433521871164,23.6694723056736,35.3637390049437,41.534842426945,55.7862821882766,46.9975014751732,65.3802848253968,-1.38278390245772,0.00019280746833908,0.00062780745560569,0.214608581828739,0.661088179795445,0.785839363331256
"LOC9272708",18.8341878455345,30.248196241853,20.4219558380819,5.77300565613493,1.63237740039129,3.12032991220091,5.79555940841093,15.7885704306443,6.87768314270827,9.34004068934241,-2.74030245148183,0.000192930718737066,0.000628124981050327,-0.401107931628064,0.71716800982111,0.827562158486707
"LOC4345260",16.4799143648427,27.8283405425048,4.25457413293372,0.962167609355821,0,0,0,0,0,0,-5.58271459225231,0.0001951631963058,0.000634546862319432,0,0,0
"LOC4331945",45.9083328734904,70.175815281099,43.396656155924,11.5460113122699,21.2209062050867,18.7219794732055,56.0237409479723,52.6285681021477,0,12.7364191218306,-1.62034855714679,0.000196590333373633,0.000638931672035104,-3.07741000923469,0.141180565273405,0.266287611864353
"LOC107277624",38.845512431415,50.8169696863131,31.4838485837095,15.3946817496931,8.16188700195643,10.4010997073364,26.0800173378492,39.9977117576322,8.02396366649298,29.7183112842713,-1.83597046945809,0.000197699827806502,0.000642110099414652,-0.788289492088208,0.345863677010045,0.513833451717885
"LOC4344402",67.0967941997168,113.733217869367,120.829905375318,28.8650282806746,33.4637367080214,56.1659384196164,59.8874472202462,48.4182826539759,11.4628052378471,8.49094608122037,-1.3579360278521,0.000204393288873154,0.000662263559646348,-2.45477529719552,0.00012490317487116,0.000677310313880612
"LOC4346943",40.0226491717609,16.9389898954377,6.80731861269395,0,2.44856610058693,1.04010997073364,0,0,0,0,-4.12681971419332,0.000205913193052162,0.000666834180180067,0,0,0
"LOC4344153",27.0741450279559,9.67942279739297,1.70182965317349,0,0,0,0,0,0,0,-6.21023128087727,0.000208037954304351,0.000673179157982315,0,0,0
"LOC107275382",14.1256408841509,10.8893506470671,22.9747003178421,0.962167609355821,0.816188700195643,0,0,0,0,0,-4.7121129637898,0.000211965743336262,0.000685162212071447,0,0,0
"LOC4347027",23297.8903649262,20945.0610057087,10599.8459947911,7876.30405018675,4737.15921593551,8039.00996380029,81.137831717753,124.203420721069,13.7553662854165,28.8692166761493,-1.4089897967951,0.000219492051400908,0.000707055825602923,-2.24649119327,5.6439251569431e-05,0.000331522821702288
"LOC107280672",47.0854696138363,55.6566810850096,39.1420820229902,14.4325141403373,10.6104531025434,20.8021994146728,0,0,0,0,-1.63907261210514,0.000222140746899398,0.000714739170883274,0,0,0
"LOC9266192",16.4799143648427,21.7787012941342,14.4655520519747,0.962167609355821,2.44856610058693,2.08021994146728,0.965926568068488,3.15771408612886,9.17024419027769,14.4346083380746,-3.24366338618202,0.000229120536645642,0.000735548343870424,2.53742329177411,0.0655165927691344,0.148559959922097
"LOC107279017",78.8681616031759,91.9545165752332,73.17867508646,5.77300565613493,39.9932463095865,16.6417595317382,29.9437236101231,26.3142840510738,0,0.849094608122037,-1.94994009984744,0.000229903574947767,0.000737868041725852,-5.85358732779295,0.00034764864227494,0.00170023586970936
"LOC4340031",141.256408841509,105.263722921649,127.637223988012,80.822079185889,48.9713220117386,48.885168624481,57.9555940841093,45.260568567847,17.1942078567707,11.8873245137085,-1.06877871144553,0.00023548557916138,0.000754097614296898,-1.84167091093098,0.00270153242907045,0.0102988975472434
"LOC4327181",49.4397430945282,49.607041836639,35.7384227166433,10.583843702914,16.3237740039129,16.6417595317382,71.4785660370681,76.8377094291356,22.9256104756942,3.39637843248815,-1.62183912508808,0.000237299697630647,0.000759508394934283,-2.52932303737906,0.00210004118596808,0.00829311113456986
