"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC9269110",0.192226,0.269422,0.612523,1.315354,24.4533381520129,2.13464079960622,0.788323138607535,2.70782461539411,0.00677258021031256,0.022578313962495
"LOC4339540",1.322717,0.493174,2.545892,4.045034,33.9992575904074,1.96682838903205,0.726369016063185,2.70775369755166,0.00677402746674571,0.0225797530237118
"LOC107278834",0,0,0.217455,0.422055,5.11579921816521,5.7911280177616,2.14093026902119,2.70495872824911,0.00683128762897576,0.0227331264563715
"LOC4349317",2.082077,1.798154,3.18077,4.090675,98.5993891394204,1.00223697225029,0.370653304573959,2.70397419875236,0.00685156090030262,0.0227903580934213
"LOC4349323",0.071253,0,1.503328,0.780377,8.15930147544494,4.97387072272524,1.84030688762252,2.70273982898088,0.00687705521024978,0.0228614785420878
"LOC4349875",0.214788,0.065529,0.427927,1.151099,23.5374410618031,2.54035965172412,0.942304827094152,2.69590007254658,0.00701987222641917,0.0232736085908108
"LOC107276146",0.05297,0,0.613855,1.017571,7.98947694818061,4.95395533738784,1.8398942623314,2.69252175997901,0.00709139078785089,0.0234792094395069
"LOC9266422",0.823454,0.548547,2.23105,1.843112,32.9189202905892,1.63587452638928,0.608195175769791,2.68971966822781,0.00715120640671169,0.0236596386964912
"LOC4337461",115.945359,120.912559,221.315161,716.030182,4236.54856385328,2.08284938053763,0.774831695952831,2.68813135990299,0.00718531242555273,0.0237371547039099
"LOC4339412",0.818263,0.372652,1.619592,3.017116,29.9659718455631,2.01304393592868,0.749043387569897,2.6874864251316,0.00719920284863714,0.0237689154935773
"LOC4349807",0.241981,0.156149,1.066692,0.898533,16.5619758216787,2.32466828647099,0.865834147579312,2.68488866253458,0.00725539709920878,0.0239189270027742
"LOC4328495",4.744993,1.809707,10.689544,7.333541,71.5938083649521,1.53716081287701,0.572723561895901,2.68394896796023,0.00727582111778428,0.0239684888000738
"LOC4339151",1.968122,1.261462,4.717502,3.871546,40.8625746285493,1.48350541603967,0.553592972213028,2.67977646123153,0.00736713397463822,0.0242262224017352
"LOC4333425",1.989871,1.621679,2.978154,11.161407,45.0968155287534,2.05444109983852,0.767999901852621,2.6750538572761,0.00747172461048303,0.0245374967894933
