"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4350710",60.368708,67.447179,57.943514,54.633072,625.408411475356,-0.0951479249192036,0.167290914270481,-0.568757277310144,0.569520871429536,0.715699611942849
"LOC4326478",2.371129,2.42623,2.933948,2.493948,56.2493583619099,0.247480252214636,0.435586553564653,0.568154021719367,0.569930388544246,0.716173759594429
"LOC107275576",31.600267,32.238564,28.621146,27.967951,797.223442232491,-0.0843603051426175,0.148495053536725,-0.568101786109353,0.569965855038826,0.716177848710197
"LOC4342420",1.608884,1.831197,1.434323,1.181,33.246344742983,-0.318069991371602,0.559984056216509,-0.567998298952684,0.570036122984955,0.716225663878186
"LOC4343944",89.786803,87.34101,88.091206,87.462793,1395.80911061759,0.0748353979190336,0.131810399301438,0.567750331655488,0.570204509984327,0.716396749010033
"LOC4335907",4.984741,5.985203,5.29322,4.067012,273.654325529909,-0.144485981866551,0.254563132909185,-0.567584081069965,0.570317418943106,0.716498116932931
"LOC4343490",0.376521,0.373152,0.834897,0.235264,10.9226554234848,0.618303554394528,1.08989226769331,0.567307038248036,0.570505596035383,0.716694028514785
"LOC4326398",18.221943,19.80035,14.398523,17.855379,259.334318345785,-0.141405501319747,0.249284046355842,-0.567246494057212,0.570546723687977,0.716705198471936
"LOC4349225",47.640006,46.955385,42.649746,41.464107,930.671282135784,-0.0813015332142776,0.143363369052764,-0.567101162252648,0.570645453308365,0.716782363495087
"LOC112937437",0.469245,0,0.411891,0.409686,9.7171192091053,0.899009073201051,1.58538291897384,0.567061157554885,0.570672631503915,0.716782363495087
"LOC4341379",12.784893,12.560419,10.97068,10.622354,195.406904700127,-0.139784965092266,0.246766912559243,-0.566465591527419,0.57107731713088,0.717250140762109
"LOC4338057",13.871897,14.919987,14.717378,15.069655,207.472586037016,0.137398830488989,0.242611093301391,0.566333668503365,0.571166976972996,0.717322227816789
"LOC4352821",0.233409,0.522532,0.135031,0.350969,16.3195471413698,-0.537921547134541,0.950017337614656,-0.566222873874257,0.571242282339922,0.717376280121073
"LOC4328505",21.515876,27.721985,23.022437,27.219462,602.815014833224,0.122699580849324,0.216751034272388,0.566085330393988,0.571335775053199,0.717419604045572
"LOC4348070",1.644904,2.013488,1.16622,1.596771,35.8963125586954,-0.317296403590784,0.560532191195076,-0.566062767803391,0.571351112264462,0.717419604045572
"LOC4330893",1.337389,1.63257,0.804197,1.378226,29.0843083521941,-0.36511852485804,0.645084974736886,-0.566000665271987,0.571393328270817,0.717419604045572
"LOC4324420",70.328606,81.596938,65.707048,88.223323,2744.46533324564,0.111498832493574,0.197000585287653,0.565982239752069,0.571405853840642,0.717419604045572
"LOC4329199",35.359629,35.766664,32.239418,31.324198,1338.20653270236,-0.0736809241182964,0.130250511097349,-0.565686257178886,0.57160707911023,0.717618713373561
"LOC4331612",18.90372,20.707823,19.68268,20.861909,287.024642722843,0.123099271270358,0.217622903002703,0.565654026170346,0.571628993561182,0.717618713373561
"LOC4336971",1.297117,0.603347,0.372014,0.753648,11.0979757055692,-0.59171213057486,1.04634472132484,-0.565504005052617,0.571731000914733,0.717706247153591
"LOC4351914",51.206373,56.092814,53.828851,53.103247,906.013632871557,0.0838722515121912,0.148347843745682,0.565375602330806,0.571818315642366,0.717740089734358
"LOC4330470",3.726156,2.957524,3.006844,2.477392,102.26966496695,-0.200838321989222,0.355233795545415,-0.565369411659894,0.571822525501043,0.717740089734358
"LOC4342732",0.556048,1.148177,0.524257,0.602397,16.2156130434069,-0.477438195319604,0.844616310273918,-0.565272289336641,0.571888573785919,0.71778246928883
"LOC4329165",8.380136,9.537733,8.523304,10.45014,143.171022289984,0.173088154576267,0.306239222745638,0.56520570103469,0.571933859426719,0.717798786149266
