"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_57",0,0,0,354,268,504,0,12,0,2098,0,408,0,0,0,0,0,0,0,0,0,26,0,184,0,0,0,0,0,0
"ASV_58",39,37,402,29,51,78,233,1738,326,190,0,22,0,10,8,9,0,0,117,161,130,0,17,42,0,0,0,0,0,0
"ASV_59",260,55,181,0,0,0,763,394,49,0,0,0,194,199,181,0,0,0,499,346,401,0,93,2,0,0,0,0,0,0
"ASV_60",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,201,665,218,8,0,0,443,189,1788,32,0,0,0,0,0
"ASV_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,319,116,635,800,949
"ASV_62",40,109,49,120,0,187,0,7,12,58,0,441,648,675,270,45,42,33,30,64,0,0,0,12,0,0,0,132,225,247
"ASV_63",0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,138,39,19,778,1107,1303
"ASV_64",0,0,0,17,23,29,0,0,0,17,0,0,0,0,0,228,256,98,0,0,0,225,114,2210,79,41,16,13,18,27
"ASV_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,751,451,126,627,673,765
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,48,29,445,273,833,324,247,1067,19,0,0,0,0,0
"ASV_67",0,0,0,0,0,0,11,82,185,20,2990,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV_68",0,0,0,0,19,9,0,72,96,0,0,0,0,0,0,0,0,0,18,13,31,3060,0,0,0,0,0,0,0,0
"ASV_69",150,21,1971,20,242,107,0,0,0,0,0,0,32,56,171,13,30,8,114,40,228,3,8,41,0,0,0,10,0,11
"ASV_70",0,0,0,0,0,10,32,0,0,24,2994,0,0,6,0,0,0,0,20,17,92,0,0,8,0,0,0,0,0,0
"ASV_71",0,0,0,67,0,0,92,811,37,2083,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"ASV_72",0,259,66,0,25,13,0,0,0,0,0,0,947,547,748,47,43,33,64,0,69,12,0,110,0,0,0,0,0,0
"ASV_73",0,0,0,0,0,0,0,0,0,0,243,0,69,23,124,32,0,0,9,0,0,0,0,0,0,0,0,667,639,1126
"ASV_74",0,3,0,28,49,27,0,0,0,16,2768,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"ASV_75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,948,462,0,0,0,0,0,209,0,0,0,0,0,0
"ASV_76",12,10,38,16,15,11,5,14,24,0,0,102,27,0,0,0,16,14,322,522,578,66,66,706,74,21,0,19,27,13
"ASV_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,55,38,534,803,1114
"ASV_78",0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,310,261,362,162,151,212,35,33,379,201,104,41,120,119,138
"ASV_79",0,0,0,21,0,0,31,75,0,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_80",0,0,0,0,0,0,0,0,0,41,2008,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,146,135,0,0,0,46,13,387,663,278,154,182,221,244
"ASV_82",0,0,0,0,0,0,0,0,0,0,0,0,47,89,0,534,809,285,0,0,0,30,145,632,0,0,0,0,0,0
"ASV_83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,661,661,1064
"ASV_84",103,0,686,0,21,51,47,144,264,17,0,0,55,136,190,17,0,9,125,239,165,10,0,126,0,0,0,0,0,0
"ASV_85",0,3,72,3,44,6,0,0,0,8,0,0,154,236,135,20,33,0,1039,230,209,85,95,26,0,0,0,0,0,0
"ASV_86",0,0,0,0,0,0,0,0,0,0,0,0,56,478,109,22,11,11,219,145,1194,0,23,127,0,0,0,0,0,0
"ASV_87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,848,597,927
"ASV_88",0,0,0,0,0,0,0,0,0,0,52,0,0,0,39,0,0,0,0,36,0,0,0,0,18,11,0,575,654,973
"ASV_89",0,0,0,0,0,0,0,0,0,0,0,0,220,356,555,190,74,82,115,174,383,8,11,57,37,0,0,14,33,37
"ASV_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,68,217,154,161,1571,0,0,0,0,0,0
"ASV_91",0,0,0,20,0,68,0,0,0,0,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,128,180,74,58,0,49,284,592,922,0,0,0,0,0,0
"ASV_93",0,0,0,0,0,0,94,156,0,0,12,0,30,52,87,11,0,10,661,282,819,0,52,43,0,0,0,0,0,0
"ASV_94",0,0,0,0,0,0,300,1049,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_95",0,0,0,0,10,0,0,0,0,0,0,0,16,0,39,70,102,31,324,201,343,323,99,465,123,35,16,0,0,0
"ASV_96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,231,370,0,0,0,122,201,921,0,0,0,0,0,0
"ASV_97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,395,459,0,23,0,54,63,583,0,0,0,0,0,0
"ASV_98",6,0,72,0,0,0,13,40,7,5,0,0,291,207,482,30,34,20,146,361,247,9,15,42,0,0,0,0,0,0
"ASV_99",5,9,71,153,166,117,217,610,0,642,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,601,871
"ASV_101",0,0,0,0,14,0,0,0,0,0,0,0,124,125,61,79,84,44,117,113,646,0,35,153,36,0,0,120,118,116
"ASV_102",0,0,31,0,58,0,0,0,0,0,0,0,41,0,0,0,0,0,62,165,481,619,16,509,0,0,0,0,0,0
"ASV_103",0,0,0,0,0,0,13,160,262,0,0,0,0,0,0,0,12,0,120,192,279,917,0,24,0,0,0,0,0,0
"ASV_104",0,0,0,0,0,0,0,0,0,0,0,0,22,0,161,0,0,0,320,394,795,88,36,140,0,0,0,0,0,0
"ASV_105",0,0,0,0,111,18,0,0,0,0,1800,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,274,235,184,0,0,0,0,14,58,395,264,99,64,132,189
"ASV_107",12,0,0,0,0,118,15,142,27,1391,0,95,0,0,0,0,0,0,31,10,44,7,0,19,0,0,0,0,0,0
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,160,355,399,0,0,73,0,0,0,0,0,0
"ASV_109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,26,0,0,0,96,69,358,189,119,50,217,328,383
"ASV_110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,224,121,25,4,0,252,249,877,0,0,0,0,0,0
"ASV_111",0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,28,0,8,0,0,124,903,722,0,0,0,0,0,0
"ASV_112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,48,21,0,0,0,35,43,261,280,120,43,270,234,459
"ASV_113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,0,0,0,23,0,105,468,301,88,222,307,305
"ASV_114",150,199,248,48,29,8,440,371,93,25,0,0,0,46,0,0,0,0,36,59,19,56,0,0,0,0,0,0,0,0
"ASV_115",0,0,44,0,41,0,0,439,0,438,0,0,0,0,0,37,21,20,88,98,95,81,79,337,0,0,0,0,0,0
"ASV_116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,430,132,163,195,261
"ASV_117",316,90,645,0,25,21,26,35,15,0,0,0,46,126,52,35,31,35,49,44,33,45,21,41,0,0,0,21,29,35
"ASV_118",577,14,359,135,106,159,0,0,0,0,0,0,24,82,19,24,15,13,0,21,108,0,0,37,16,0,0,32,42,29
"ASV_119",0,0,0,0,0,0,0,0,0,0,0,0,72,701,231,17,14,11,43,31,288,0,0,40,121,36,16,37,40,83
"ASV_120",272,46,199,0,0,0,266,733,140,0,0,0,0,23,0,0,0,0,34,0,25,0,15,0,0,0,0,0,0,0
"ASV_121",0,0,0,0,0,0,0,0,0,0,0,0,42,211,66,195,294,147,61,48,65,90,12,123,159,48,20,67,31,63
"ASV_122",0,0,0,0,0,12,9,20,0,198,0,0,0,0,0,123,122,130,0,41,29,86,70,596,61,29,22,44,60,68
"ASV_123",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,47,37,0,0,0,0,0,0,27,0,9,444,420,559
"ASV_124",71,41,70,559,18,37,29,88,0,0,8,0,53,114,118,28,22,20,158,125,93,18,14,7,0,0,0,0,0,0
"ASV_125",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,7,0,0,471,512,618
"ASV_126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,106,46,352,401,475
"ASV_127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,48,17,428,382,592
"ASV_128",46,0,0,0,0,40,0,64,0,288,0,0,52,0,57,70,143,29,25,18,0,0,0,60,0,0,0,200,261,253
"ASV_129",0,0,0,0,0,0,0,0,0,0,0,0,63,101,144,110,97,55,108,200,200,0,22,144,60,0,0,70,93,99
"ASV_130",0,0,0,51,58,30,0,75,15,301,457,89,0,0,0,16,8,22,0,5,14,30,12,170,30,37,11,27,36,53
"ASV_131",0,0,0,0,334,308,0,0,0,0,0,0,0,0,0,170,124,0,0,0,0,0,182,427,0,0,0,0,0,0
"ASV_132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57,9,0,0,454,440,546
"ASV_133",0,76,229,0,256,215,7,52,0,378,0,0,8,5,0,0,22,0,21,20,16,17,0,180,0,0,0,0,0,0
"ASV_134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,340,163,44,260,333,347
"ASV_135",0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,1397,0,9,0,0,0,0,0,0
