"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_11919","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Paludibacterium"
"ASV_11920","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales",NA,NA
"ASV_11921","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11922","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"ASV_11923","Bacteria",NA,NA,NA,NA,NA
"ASV_11924","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"ASV_11925","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11926","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11927","Bacteria",NA,NA,NA,NA,NA
"ASV_11928","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum"
"ASV_11929","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_11930","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Microbacter"
"ASV_11931","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11932","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_10"
"ASV_11933","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae",NA
"ASV_11934","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1"
"ASV_11935","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA
"ASV_11936","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Acetobacteroides"
"ASV_11937","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus"
"ASV_11938","Bacteria",NA,NA,NA,NA,NA
"ASV_11939","Bacteria","Latescibacteria","Latescibacteria","Latescibacterales","Latescibacteraceae","Candidatus_Latescibacter"
"ASV_11940","Eukaryota",NA,NA,NA,NA,NA
"ASV_11941","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA
"ASV_11942","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Oxobacter"
"ASV_11943","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Anaeromyxobacter"
"ASV_11944","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11945","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Microbacter"
"ASV_11946","Bacteria",NA,NA,NA,NA,NA
"ASV_11947","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudacidovorax"
"ASV_11948","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter"
"ASV_11949","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_11950","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_11951","Bacteria",NA,NA,NA,NA,NA
"ASV_11952","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA
"ASV_11953","Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA
"ASV_11954","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_11955","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010"
"ASV_11956","Bacteria","Cyanobacteria",NA,NA,NA,NA
"ASV_11957","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"ASV_11958","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Oxalophagus"
"ASV_11959","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11960","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11961","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"ASV_11962","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11963","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_11964","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11965","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_11966","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_11967","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales",NA,NA
"ASV_11968","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_8"
"ASV_11969","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales",NA,NA
"ASV_11970","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"ASV_11971","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_11972","Bacteria","BRC1",NA,NA,NA,NA
"ASV_11973","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"ASV_11974","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_11975","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group","GWE2-42-42"
"ASV_11976","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_14"
"ASV_11977","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ASV_11978","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Niveibacterium"
"ASV_11979","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_11980","Bacteria","Elusimicrobia","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Candidatus_Endomicrobium"
"ASV_11981","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_11982","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11983","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",NA
"ASV_11984","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_11985","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Acetobacteroides"
"ASV_11986","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
