geno,variable,value,group,
fls2,Pseudomonas,0.018819276,fls2_root,Keep
fls2,Pseudomonas,0.042410053,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.00823899,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.017070713,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.007290617,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.006549701,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.011024836,fls2_root,Keep
Kitaake,Enterobacteriaceae,0.027650999,fls2_root,Keep
fls2,Enterobacteriaceae,0.005067868,fls2_root,Keep
fls2,Enterobacteriaceae,0.003052575,fls2_root,Keep
fls2,Enterobacteriaceae,0.008001897,fls2_root,Keep
fls2,Enterobacteriaceae,0.00734989,fls2_root,Keep
fls2,Enterobacteriaceae,0.001333649,fls2_root,Keep
fls2,Enterobacteriaceae,0.005423508,fls2_root,Keep
Kitaake,Massilia,0.016063067,fls2_root,Keep
Kitaake,Massilia,0.022731314,fls2_root,Keep
Kitaake,Massilia,0.022672041,fls2_root,Keep
Kitaake,Massilia,0.024242783,fls2_root,Keep
Kitaake,Massilia,0.019678739,fls2_root,Keep
Kitaake,Massilia,0.0166558,fls2_root,Keep
fls2,Massilia,0.013840318,fls2_root,Keep
fls2,Massilia,0.00859463,fls2_root,Keep
fls2,Massilia,0.011439749,fls2_root,Keep
fls2,Massilia,0.018404363,fls2_root,Keep
fls2,Massilia,0.006608974,fls2_root,Keep
fls2,Massilia,0.017604173,fls2_root,Keep
Kitaake,Methylibium,0.047566831,fls2_root,Keep
Kitaake,Methylibium,0.031829767,fls2_root,Keep
Kitaake,Methylibium,0.058917669,fls2_root,Keep
Kitaake,Methylibium,0.038231284,fls2_root,Keep
Kitaake,Methylibium,0.071513248,fls2_root,Keep
Kitaake,Methylibium,0.030051568,fls2_root,Keep
fls2,Methylibium,0.087517041,fls2_root,Keep
fls2,Methylibium,0.053849801,fls2_root,Keep
fls2,Methylibium,0.145753067,fls2_root,Keep
fls2,Methylibium,0.090836346,fls2_root,Keep
fls2,Methylibium,0.093888922,fls2_root,Keep
fls2,Methylibium,0.093207279,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.263499496,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.297226009,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.255764329,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.446209472,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.29482544,fls2_root,Keep
Kitaake,Rhodocyclaceae,0.168810385,fls2_root,Keep
fls2,Rhodocyclaceae,0.480439808,fls2_root,Keep
